Results_Name,WaveDrag
Results_Timestamp,1785884995
Results_Date,8,5,2026
Results_Time,0,9,55
Ambiguous_Subsurf_Flag,0
Analysis_Duration_Sec,6.844999999999999751e+00
CDWave,1.525765975054479862e+00
End_X,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01
Exit_Area,0.000000000000000000e+00
Inlet_Area,0.000000000000000000e+00
Length,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01
Mach,1.000000000000000000e+00
MaxArea,4.103790400134762706e+01,4.103790517177099417e+01,4.103790517177502295e+01,4.103790517175795571e+01,4.103790517176194186e+01,4.103790517175684016e+01,4.103790517177654351e+01,4.103790517177105812e+01,4.103790517177726827e+01,4.103790517176361163e+01,4.103790516580470893e+01,4.103790517177849750e+01,4.103790517295058748e+01,4.103790517178080677e+01,4.103790517175997365e+01,4.103790400135071081e+01
Mesh_GeomID,HKNAWRZSCD
Num_Cone_Sections,16
Num_Slices,60
Set_Name,All
Slice_Area,3.673002447051234810e-06,1.391481210861716056e+00,2.442508311264905085e+00,4.686795079632459782e+00,5.767955661957845592e+00,8.088082572171018114e+00,1.062313504822985166e+01,1.202995417017541335e+01,1.351091322817593721e+01,1.648826798894546641e+01,1.894380525735161314e+01,2.015421759677469282e+01,2.264057756378323916e+01,2.591572004235504423e+01,2.827427936603619685e+01,2.889363492776026376e+01,2.889363492776024955e+01,2.889363492776026021e+01,2.889363492776026021e+01,2.889363492776025666e+01,2.889363492776027442e+01,2.889363492776026376e+01,2.889363492776028508e+01,2.889363492776026376e+01,2.879768940175723557e+01,2.838476027615763542e+01,2.904404890082946622e+01,2.877664268671342285e+01,3.002959351221069539e+01,3.273019558612682545e+01,3.534786589585238659e+01,3.771787472734052216e+01,3.988391596036464648e+01,4.098721142812495799e+01,4.014463544800636896e+01,3.771819798878149754e+01,3.944821013273772792e+01,3.573122981507275853e+01,3.354140496502121493e+01,3.261776249299203556e+01,3.203137160950748807e+01,3.057413443554222354e+01,2.815438443655546763e+01,2.529126022628673098e+01,1.923845734744848102e+01,1.295429852476739185e+01,1.216980132779333346e+01,1.201475598547179224e+01,1.133036380488544559e+01,1.047133852215710270e+01,9.527010950390303989e+00,8.738818594889796287e+00,8.568042946664226278e+00,9.042317130385862711e+00,9.364126458634320471e+00,8.736992988820356132e+00,7.248455359218263894e+00,4.496721490666214294e+00,1.350261371573089786e+00,1.821456159743463207e-06
Slice_Area,3.673002447051233963e-06,1.391481210861715612e+00,2.442508311264904197e+00,4.686795079632459782e+00,5.767955661957844704e+00,8.088082572171014561e+00,1.062313504822984811e+01,1.202995417017540980e+01,1.351091322817593898e+01,1.648826798894547352e+01,1.894380525735160958e+01,2.015421759677472480e+01,2.264057756378323560e+01,2.591572004235505489e+01,2.827427936603622172e+01,2.889363492776026376e+01,2.889363492776025666e+01,2.889363492776024600e+01,2.889363492776030284e+01,2.889363492776027442e+01,2.889363492776024600e+01,2.889363492776026376e+01,2.889363492776028863e+01,2.889363492776026021e+01,2.879768940175722847e+01,2.838476027615761765e+01,2.904404890082944846e+01,2.877664268671343706e+01,3.002959351221071316e+01,3.273019558612680413e+01,3.534786589585242922e+01,3.771787472734054347e+01,3.988391596036461806e+01,4.098721142812494378e+01,4.014463544800637607e+01,3.771819798878146912e+01,3.944821013273772792e+01,3.573122981507277984e+01,3.354140496502120783e+01,3.261776249299206398e+01,3.203137160950748807e+01,3.057413443554219512e+01,2.815438443655545342e+01,2.529126022628673454e+01,1.923845734744850233e+01,1.295401190191102536e+01,1.216980132779335477e+01,1.201475598547180468e+01,1.133036380488545269e+01,1.047133852215708849e+01,9.527010950390302213e+00,8.738818594889778524e+00,8.568042946664222725e+00,9.042317130385850277e+00,9.364126458634329353e+00,8.736992988820357908e+00,7.248455359218281657e+00,4.496721490666213406e+00,1.350261371573091118e+00,1.821456159743463419e-06
Slice_Area,3.673002447051233539e-06,1.391481210861715612e+00,2.442508311264904641e+00,4.686795079632459782e+00,5.767955661957843816e+00,8.088082572171016338e+00,1.062313504822985344e+01,1.202995417017541158e+01,1.351091322817593721e+01,1.648826798894547707e+01,1.894380525735161669e+01,2.015421759677470703e+01,2.264057756378324981e+01,2.591572004235505844e+01,2.827427936603621816e+01,2.889363492776025311e+01,2.889363492776025666e+01,2.889363492776026732e+01,2.889363492776025666e+01,2.889363492776024955e+01,2.889363492776025311e+01,2.889363492776024600e+01,2.889363492776027798e+01,2.889363492776024955e+01,2.879768940175724623e+01,2.838476027615763542e+01,2.904404890082945911e+01,2.877664268671341574e+01,3.002959351221067763e+01,3.273019558612683255e+01,3.534786589585233685e+01,3.771787472734058611e+01,3.988391596036463227e+01,4.098721142812495088e+01,4.014463544800640449e+01,3.771819798878145491e+01,3.944821013273780608e+01,3.573122981507275853e+01,3.354140496502122204e+01,3.261776249299203556e+01,3.203137160950748807e+01,3.057413443554220933e+01,2.815438443655547118e+01,2.529126022628673454e+01,1.923845734744847746e+01,1.295401190191102181e+01,1.216980132779333346e+01,1.201475598547179224e+01,1.133036380488546691e+01,1.047133852215709027e+01,9.527010950390307542e+00,8.738818594889796287e+00,8.568042946664224502e+00,9.042317130385844948e+00,9.364126458634324024e+00,8.736992988820359685e+00,7.248455359218270999e+00,4.496721490666216958e+00,1.350261371573091340e+00,1.821456159743462996e-06
Slice_Area,3.673002447051233539e-06,1.391481210861715390e+00,2.442508311264904641e+00,4.686795079632459782e+00,5.767955661957844704e+00,8.088082572171016338e+00,1.062313504822985699e+01,1.202995417017541335e+01,1.351091322817594076e+01,1.648826798894547707e+01,1.894380525735162024e+01,2.015421759677470348e+01,2.264057756378325692e+01,2.591572004235505844e+01,2.827427936603621106e+01,2.889363492776027798e+01,2.889363492776026732e+01,2.889363492776026376e+01,2.889363492776025666e+01,2.889363492776028863e+01,2.889363492776025666e+01,2.889363492776026732e+01,2.889363492776028153e+01,2.889363492776026021e+01,2.879768940175725334e+01,2.838476027615762831e+01,2.904404890082945201e+01,2.877664268671342995e+01,3.002959351221069895e+01,3.273019558612681124e+01,3.534786589585234395e+01,3.771787472734052216e+01,3.988391596036465359e+01,4.098721142812494378e+01,4.014463544800640449e+01,3.771819798878144070e+01,3.944821013273778476e+01,3.573122981507274432e+01,3.354140496502118651e+01,3.261776249299203556e+01,3.203137160950747386e+01,3.057413443554221644e+01,2.815438443655547118e+01,2.529126022628673098e+01,1.923845734744848457e+01,1.295401190191102181e+01,1.216980132779333523e+01,1.201475598547179580e+01,1.133036380488545447e+01,1.047133852215709204e+01,9.527010950390307542e+00,8.738818594889794511e+00,8.568042946664215620e+00,9.042317130385855606e+00,9.364126458634318695e+00,8.736992988820356132e+00,7.248455359218270999e+00,4.496721490666216958e+00,1.350261371573090896e+00,1.821456159743463207e-06
Slice_Area,3.673002447051234386e-06,1.391481210861715612e+00,2.442508311264905085e+00,4.686795079632459782e+00,5.767955661957845592e+00,8.088082572171018114e+00,1.062313504822985522e+01,1.202995417017541158e+01,1.351091322817593898e+01,1.648826798894547707e+01,1.894380525735162024e+01,2.015421759677469993e+01,2.264057756378325692e+01,2.591572004235506199e+01,2.827427936603620751e+01,2.889363492776027087e+01,2.889363492776025311e+01,2.889363492776026021e+01,2.889363492776027087e+01,2.889363492776026021e+01,2.889363492776027087e+01,2.889363492776026376e+01,2.889363492776026376e+01,2.889363492776026021e+01,2.879768940175724978e+01,2.838476027615762831e+01,2.904404890082944490e+01,2.877664268671341929e+01,3.002959351221069539e+01,3.273019558612681834e+01,3.534786589585237238e+01,3.771787472734050795e+01,3.988391596036468911e+01,4.098721142812492246e+01,4.014463544800642580e+01,3.771819798878144780e+01,3.944821013273784160e+01,3.573122981507277274e+01,3.354140496502120072e+01,3.261776249299204267e+01,3.203137160950749518e+01,3.057413443554220933e+01,2.815438443655546408e+01,2.529126022628672033e+01,1.923845734744848102e+01,1.295401190191100582e+01,1.216980132779333168e+01,1.201475598547179402e+01,1.133036380488544914e+01,1.047133852215709560e+01,9.527010950390295108e+00,8.738818594889801616e+00,8.568042946664219173e+00,9.042317130385855606e+00,9.364126458634324024e+00,8.736992988820357908e+00,7.248455359218275440e+00,4.496721490666217846e+00,1.350261371573090674e+00,1.821456159743463207e-06
Slice_Area,3.673002447051234386e-06,1.391481210861715390e+00,2.442508311264904641e+00,4.686795079632458894e+00,5.767955661957847369e+00,8.088082572171018114e+00,1.062313504822985699e+01,1.202995417017541513e+01,1.351091322817593898e+01,1.648826798894547707e+01,1.894380525735161314e+01,2.015421759677469993e+01,2.264057756378326047e+01,2.591572004235506554e+01,2.827427936603618619e+01,2.889363492776025311e+01,2.889363492776026732e+01,2.889363492776025311e+01,2.889363492776027442e+01,2.889363492776026732e+01,2.889363492776027087e+01,2.889363492776026732e+01,2.889363492776028153e+01,2.889363492776026021e+01,2.879768940175724268e+01,2.838476027615763186e+01,2.904404890082945911e+01,2.877664268671341574e+01,3.002959351221068829e+01,3.273019558612681124e+01,3.534786589585234395e+01,3.771787472734051505e+01,3.988391596036466780e+01,4.098721142812495799e+01,4.014463544800637607e+01,3.771819798878146202e+01,3.944821013273784871e+01,3.573122981507274432e+01,3.354140496502121493e+01,3.261776249299203556e+01,3.203137160950748807e+01,3.057413443554220578e+01,2.815438443655547118e+01,2.529126022628672388e+01,1.923845734744849523e+01,1.295401190191101115e+01,1.216980132779332280e+01,1.201475598547180290e+01,1.133036380488544737e+01,1.047133852215710625e+01,9.527010950390295108e+00,8.738818594889790958e+00,8.568042946664222725e+00,9.042317130385857382e+00,9.364126458634313366e+00,8.736992988820356132e+00,7.248455359218277216e+00,4.496721490666214294e+00,1.350261371573089786e+00,1.821456159743463419e-06
Slice_Area,3.673002447051234810e-06,1.391481210861716056e+00,2.442508311264905529e+00,4.686795079632459782e+00,5.767955661957842040e+00,8.088082572171016338e+00,1.062313504822985344e+01,1.202995417017540802e+01,1.351091322817593898e+01,1.648826798894546997e+01,1.894380525735161669e+01,2.015421759677471059e+01,2.264057756378324981e+01,2.591572004235505133e+01,2.827427936603620040e+01,2.889363492776026376e+01,2.889363492776023890e+01,2.889363492776026376e+01,2.889363492776027442e+01,2.889363492776027087e+01,2.889363492776027442e+01,2.889363492776026021e+01,2.889363492776027798e+01,2.889363492776026021e+01,2.879768940175720005e+01,2.838476027615763542e+01,2.904404890082945911e+01,2.877664268671341219e+01,3.002959351221069539e+01,3.273019558612680413e+01,3.534786589585236527e+01,3.771787472734055768e+01,3.988391596036466780e+01,4.098721142812495799e+01,4.014463544800642580e+01,3.771819798878146912e+01,3.944821013273770660e+01,3.573122981507278695e+01,3.354140496502126467e+01,3.261776249299207819e+01,3.203137160950749518e+01,3.057413443554222354e+01,2.815438443655546052e+01,2.529126022628670967e+01,1.923845734744850589e+01,1.295401190191100937e+01,1.216980132779333168e+01,1.201475598547179580e+01,1.133036380488544914e+01,1.047133852215708849e+01,9.527010950390302213e+00,8.738818594889810498e+00,8.568042946664240489e+00,9.042317130385848500e+00,9.364126458634331129e+00,8.736992988820347250e+00,7.248455359218277216e+00,4.496721490666212517e+00,1.350261371573087121e+00,1.821456159743463419e-06
Slice_Area,3.673002447051234810e-06,1.391481210861715834e+00,2.442508311264905529e+00,4.686795079632459782e+00,5.767955661957842928e+00,8.088082572171014561e+00,1.062313504822984989e+01,1.202995417017541158e+01,1.351091322817593543e+01,1.648826798894546641e+01,1.894380525735159893e+01,2.015421759677470703e+01,2.264057756378321784e+01,2.591572004235506199e+01,2.827427936603623948e+01,2.889363492776027442e+01,2.889363492776023890e+01,2.889363492776028508e+01,2.889363492776025311e+01,2.889363492776026732e+01,2.889363492776027087e+01,2.889363492776026376e+01,2.889363492776027798e+01,2.889363492776027087e+01,2.879768940175725689e+01,2.838476027615762121e+01,2.904404890082946267e+01,2.877664268671339087e+01,3.002959351221069539e+01,3.273019558612683255e+01,3.534786589585236527e+01,3.771787472734054347e+01,3.988391596036461095e+01,4.098721142812494378e+01,4.014463544800636186e+01,3.771819798878146912e+01,3.944821013273774213e+01,3.573122981507277274e+01,3.354140496502120783e+01,3.261776249299204267e+01,3.203137160950748807e+01,3.057413443554220933e+01,2.815438443655545342e+01,2.529126022628676651e+01,1.923845734744849167e+01,1.295401190191101648e+01,1.216980132779333168e+01,1.201475598547178336e+01,1.133036380488543671e+01,1.047133852215709737e+01,9.527010950390302213e+00,8.738818594889794511e+00,8.568042946664224502e+00,9.042317130385843171e+00,9.364126458634327577e+00,8.736992988820352579e+00,7.248455359218270999e+00,4.496721490666209853e+00,1.350261371573091118e+00,1.821456159743463207e-06
Slice_Area,3.673002447051234386e-06,1.391481210861715612e+00,2.442508311264904641e+00,4.686795079632459782e+00,5.767955661957842040e+00,8.088082572171016338e+00,1.062313504822984811e+01,1.202995417017540447e+01,1.351091322817593010e+01,1.648826798894548418e+01,1.894380525735162735e+01,2.015421759677469993e+01,2.264057756378325692e+01,2.591572004235506199e+01,2.827427936603622172e+01,2.889363492776029219e+01,2.889363492776024600e+01,2.889363492776027442e+01,2.889363492776024955e+01,2.889363492776027798e+01,2.889363492776027442e+01,2.889363492776026376e+01,2.889363492776026021e+01,2.889363492776025666e+01,2.879768940175724978e+01,2.838476027615759278e+01,2.904404890082944490e+01,2.877664268671342640e+01,3.002959351221072026e+01,3.273019558612686097e+01,3.534786589585235816e+01,3.771787472734052926e+01,3.988391596036464648e+01,4.098721142812493667e+01,4.014463544800639738e+01,3.771819798878149044e+01,3.944821013273772081e+01,3.573122981507277984e+01,3.354140496502117941e+01,3.261776249299204267e+01,3.203137160950746676e+01,3.057413443554223420e+01,2.815438443655546763e+01,2.529126022628674519e+01,1.923845734744848812e+01,1.295401190191101115e+01,1.216980132779333879e+01,1.201475598547178691e+01,1.133036380488545269e+01,1.047133852215710981e+01,9.527010950390300437e+00,8.738818594889792735e+00,8.568042946664212067e+00,9.042317130385852053e+00,9.364126458634325800e+00,8.736992988820370343e+00,7.248455359218274552e+00,4.496721490666217846e+00,1.350261371573089342e+00,1.821456159743463207e-06
Slice_Area,3.673002447051234386e-06,1.391481210861715612e+00,2.442508311264905974e+00,4.686795079632459782e+00,5.767955661957843816e+00,8.088082572171026996e+00,1.062313504822983745e+01,1.202995417017540980e+01,1.351091322817591767e+01,1.648826798894548062e+01,1.894380525735161669e+01,2.015421759677471414e+01,2.264057756378325337e+01,2.591572004235505133e+01,2.827427936603623948e+01,2.889363492776023534e+01,2.889363492776022468e+01,2.889363492776022824e+01,2.889363492776023890e+01,2.889363492776023890e+01,2.889363492776024245e+01,2.889363492776027442e+01,2.889363492776024600e+01,2.889363492776023179e+01,2.879768940175724623e+01,2.838476027615758568e+01,2.904404890082942714e+01,2.877664268671345482e+01,3.002959351221066697e+01,3.273019558612679702e+01,3.534786589585237238e+01,3.771787472734052216e+01,3.988391596036460385e+01,4.098721142812489404e+01,4.014463544800646133e+01,3.771819798878152596e+01,3.944821013273769950e+01,3.573122981507275142e+01,3.354140496502122204e+01,3.261776249299200714e+01,3.203137160950748097e+01,3.057413443554221999e+01,2.815438443655546763e+01,2.529126022628674164e+01,1.923845734744845259e+01,1.295401190191100049e+01,1.216980132779333168e+01,1.201475598547178514e+01,1.133036380488545980e+01,1.047133852215709560e+01,9.527010950390288002e+00,8.738818594889828262e+00,8.568042946664229831e+00,9.042317130385841395e+00,9.364126458634309813e+00,8.736992988820354356e+00,7.248455359218270111e+00,4.496721490666207188e+00,1.350261371573088898e+00,1.821456159743463207e-06
Slice_Area,3.673002447051234810e-06,1.391481210861715168e+00,2.442508311264902865e+00,4.686795079632460670e+00,5.767955661957860691e+00,8.088082572171023443e+00,1.062313504822986054e+01,1.202995417017540269e+01,1.351091322817593721e+01,1.648826798894545576e+01,1.894380525735161314e+01,2.015421759677472124e+01,2.264057756378328179e+01,2.591572004235507620e+01,2.827427936603621816e+01,2.889363492776026732e+01,2.889363492776026376e+01,2.889363492776027798e+01,2.889363492776029574e+01,2.889363492776027087e+01,2.889363492776028153e+01,2.889363492776028153e+01,2.889363492776028153e+01,2.889363492776027798e+01,2.879768940175725334e+01,2.838476027615766739e+01,2.904404890082948043e+01,2.877664268671340153e+01,3.002959351221068829e+01,3.273019558612684676e+01,3.534786589585237238e+01,3.771787472734057900e+01,3.988391596036464648e+01,4.098721142812490825e+01,4.014463544800641870e+01,3.771819804096987383e+01,3.944821013273775634e+01,3.573122981507273010e+01,3.354140496502120783e+01,3.261776249299201424e+01,3.203137160950746676e+01,3.057413443554223420e+01,2.815438443655546408e+01,2.529126022628673809e+01,1.923845734744848102e+01,1.295401190191103069e+01,1.216980132779332280e+01,1.201475598547178159e+01,1.133036380488543671e+01,1.047133852215710981e+01,9.527010950390307542e+00,8.738818594889790958e+00,8.568042946664235160e+00,9.042317130385850277e+00,9.364126458634332906e+00,8.736992988820368566e+00,7.248455359218275440e+00,4.496721490666210741e+00,1.350261371573090452e+00,1.821456159743463207e-06
Slice_Area,3.673002447051234810e-06,1.391481210861713835e+00,2.442508311264901533e+00,4.686795079632460670e+00,5.767955661957839375e+00,8.088082572171018114e+00,1.062313504822985877e+01,1.202995417017540980e+01,1.351091322817594254e+01,1.648826798894547707e+01,1.894380525735161314e+01,2.015421759677469637e+01,2.264057756378325692e+01,2.591572004235506199e+01,2.827427936603620395e+01,2.889363492776028153e+01,2.889363492776027442e+01,2.889363492776027442e+01,2.889363492776026732e+01,2.889363492776026021e+01,2.889363492776027087e+01,2.889363492776026376e+01,2.889363492776027798e+01,2.889363492776026021e+01,2.879768940175726044e+01,2.838476027615765318e+01,2.904404890082946977e+01,2.877664268671339087e+01,3.002959351221068474e+01,3.273019558612683255e+01,3.534786589585235816e+01,3.771787472734055768e+01,3.988391596036464648e+01,4.098721142812490115e+01,4.014463544800643291e+01,3.771819798878146912e+01,3.944821013273780608e+01,3.573122981507278695e+01,3.354140496502125757e+01,3.261776249299202846e+01,3.203137160950748097e+01,3.057413443554223775e+01,2.815438443655546408e+01,2.529126022628672388e+01,1.923845734744847391e+01,1.295401190191101115e+01,1.216980132779332990e+01,1.201475598547179224e+01,1.133036380488546335e+01,1.047133852215710270e+01,9.527010950390307542e+00,8.738818594889782077e+00,8.568042946664217396e+00,9.042317130385857382e+00,9.364126458634334682e+00,8.736992988820366790e+00,7.248455359218279881e+00,4.496721490666210741e+00,1.350261371573092450e+00,1.821456159743463207e-06
Slice_Area,3.673002447051234810e-06,1.391481210861717832e+00,2.442508311264901533e+00,4.686795079632461558e+00,5.767947530041013238e+00,8.088082572171011009e+00,1.062313504822986054e+01,1.202995417017540269e+01,1.351091322817593543e+01,1.648826798894547707e+01,1.894380525735160958e+01,2.015421759677470348e+01,2.264057756378325692e+01,2.591572004235505489e+01,2.827427936603619330e+01,2.889363492776024600e+01,2.889363492776024955e+01,2.889363492776024955e+01,2.889363492776026021e+01,2.889363492776024600e+01,2.889363492776026732e+01,2.889363492776025666e+01,2.889363492776027442e+01,2.889363492776026732e+01,2.879768940175724268e+01,2.838476027615765318e+01,2.904404890082946267e+01,2.877664268671338732e+01,3.002959351221068118e+01,3.273019558612686808e+01,3.534786589585238659e+01,3.771787472734051505e+01,3.988391596036466780e+01,4.098721142812490115e+01,4.014463544800647554e+01,3.771819798878144070e+01,3.944821013273784871e+01,3.573122981507281537e+01,3.354140496502123625e+01,3.261776249299201424e+01,3.203137160950748097e+01,3.057413443554223420e+01,2.815438443655546408e+01,2.529126022628671677e+01,1.923845734744849167e+01,1.295401190191101826e+01,1.216980132779334589e+01,1.201475598547179757e+01,1.133036380488545980e+01,1.047133852215709204e+01,9.527010950390309318e+00,8.738818594889796287e+00,8.568042946664219173e+00,9.042317130385857382e+00,9.364126458634320471e+00,8.736992988820352579e+00,7.248455359218274552e+00,4.496721490666205412e+00,1.350261371573092450e+00,1.821456159743463419e-06
Slice_Area,3.673002447051234810e-06,1.391481210861715834e+00,2.442508311264905529e+00,4.686795079632463334e+00,5.767955661957837599e+00,8.088082572171012785e+00,1.062313504822984100e+01,1.202995417017541691e+01,1.351091322817594076e+01,1.648826798894546997e+01,1.894380525735161669e+01,2.015421759677472124e+01,2.264057756378327113e+01,2.591572004235502291e+01,2.827427936603622882e+01,2.889363492776026732e+01,2.889363492776026021e+01,2.889363492776027442e+01,2.889363492776028153e+01,2.889363492776025666e+01,2.889363492776025311e+01,2.889363492776023890e+01,2.889363492776026021e+01,2.889363492776026021e+01,2.879768940175727465e+01,2.838476027615763186e+01,2.904404890082943425e+01,2.877664268671340508e+01,3.002959351221065631e+01,3.273019558612684676e+01,3.534786589585231553e+01,3.771787472734055058e+01,3.988391596036468911e+01,4.098721142812492957e+01,4.014463544800646844e+01,3.771819798878144780e+01,3.944821013273780608e+01,3.573122981507283669e+01,3.354140496502120783e+01,3.261776249299204977e+01,3.203137160950748097e+01,3.057413443554223775e+01,2.815438443655547474e+01,2.529126022628673809e+01,1.923845734744848457e+01,1.295401190191102359e+01,1.216980132779334589e+01,1.201475598547180113e+01,1.133036380488545092e+01,1.047133852215710803e+01,9.527010950390309318e+00,8.738818594889783853e+00,8.568042946664219173e+00,9.042317130385866264e+00,9.364126458634313366e+00,8.736992988820341921e+00,7.248455359218285210e+00,4.496721490666214294e+00,1.350261371573090452e+00,1.821456159743463419e-06
