"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.225042549,      -11.74222504,      -12.07305385,       3.165432398,       6.414823141,        9.86891565
          0,           0,           1,      -2.193842506,     0.07517809787,      0.2885414962,       3.187131329,       5.814671343,       9.268930296
          0,           0,           2,      -2.249723817,      0.1124811181,      0.2714472874,       3.091804099,       5.215041633,       8.669518728
          0,           0,           3,      -2.258580043,     0.07440173304,      0.1876659291,       3.081355832,        4.61586353,       8.070668684
          0,           0,           4,      -2.308835807,     0.07154747979,     0.05895888299,       3.035234356,       4.016629351,       7.472772836
          0,           0,           5,      -2.355252261,     0.09239550639,    -0.02841586937,       3.000903153,       3.416973329,       6.888558006
          0,           0,           6,      -2.405709964,     0.03270113483,     -0.1455827833,       2.959046587,       2.818136772,       6.429722769
          0,           0,           7,      -2.490284582,     0.00576725809,     -0.1597619971,       2.882232989,       2.217126566,       6.258427789
          0,           0,           8,      -2.530024289,     0.04203019966,     -0.1621588084,       2.869017011,       1.611951059,       6.197007023
          0,           0,           9,      -2.575762487,    -0.03130605839,     -0.1783319338,       2.827358946,       1.189979394,       6.153549496
          0,           0,          10,      -2.560957518,    -0.06262851843,     -0.2024582415,       2.852614223,      0.7823574706,        6.08985272
          0,           0,          11,       -2.53593909,   -0.005538133462,     -0.1717224277,        2.87827911,      0.4214799454,       5.981043786
          0,           0,          12,      -2.562908108,    -0.05266437743,     -0.1500469692,       2.854786448,      0.2195333835,       5.810738623
          0,           0,          13,      -2.541207022,    -0.09440536467,     -0.1214716995,       2.874192574,      0.1428934191,       5.579853624
          0,           0,          14,      -2.469959496,    -0.01053251404,     -0.1442399741,       2.940960758,     0.04953577664,        5.30792238
          0,           0,          15,      -2.474442514,   -0.001575178543,    -0.08066102007,       2.924465784,     -0.1133611489,       5.099168088
          0,           0,          16,      -2.513200985,    -0.05339138161,     -0.1320884221,       2.876244683,     -0.1384912359,       5.100974007
          0,           0,          17,      -2.517220723,    -0.08275575117,      -0.150640277,       2.867492945,     -0.1563051913,       5.200610327
          0,           0,          18,      -2.498536998,    -0.08142346241,     -0.1314594273,       2.880718368,     -0.1961542603,       5.099226159
          0,           0,          19,      -2.473457401,    -0.05361781578,     -0.1306060788,       2.901303922,     -0.2572589656,       4.993068757
          0,           0,          20,      -2.429764157,     0.02635495844,    -0.07898383815,       2.939109662,     -0.3170432322,       5.022781595
          0,           0,          21,      -2.384546205,     0.02369787494,    -0.06948842639,       2.984841622,     -0.4449219438,       4.899892898
          0,           0,          22,      -2.439819542,    -0.03923578793,    -0.07426752727,       2.903222773,     -0.4403819697,       4.990094369
          0,           0,          23,      -2.431504119,    -0.08983243452,    -0.09348048768,       2.906597013,     -0.4705035971,       4.919659696
