"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.141074527,      -11.75109684,      -12.03864067,       3.249400421,       6.413381568,       9.867474077
          0,           0,           1,       -2.16623553,      0.0953363431,      0.2788594974,       3.213761971,       5.813230783,       9.267489863
          0,           0,           2,      -2.217695164,      0.1315519748,      0.2707426581,       3.133911263,       5.213603966,        8.66808191
          0,           0,           3,      -2.237586947,     0.09759284826,      0.1860843966,        3.10759395,       4.614434448,       8.069247488
          0,           0,           4,      -2.283010402,      0.0786153366,     0.05871874923,       3.069133961,       4.015226253,       7.471458072
          0,           0,           5,      -2.322739635,      0.1679138804,     -0.0292853974,       3.052443973,       3.415636895,       6.888080622
          0,           0,           6,       -2.37208484,     0.08990032919,     -0.1758315865,       3.020146874,       2.816859834,       6.434375769
          0,           0,           7,      -2.478266678,  -0.0003658210469,     -0.2566654814,       2.896628044,       2.215771172,       6.264700441
          0,           0,           8,      -2.527432501,     0.03513049976,     -0.2006508207,       2.862252595,       1.610174897,       6.198764001
          0,           0,           9,      -2.573140843,    -0.03618329098,     -0.2595286728,       2.821678228,       1.187957827,       6.153017313
          0,           0,          10,      -2.592842654,    -0.07081163541,     -0.2108418787,       2.804646579,      0.7806655249,       6.083031017
          0,           0,          11,      -2.557889929,    -0.01413938795,     -0.2491241473,       2.838158976,      0.4208755425,       5.971974207
          0,           0,          12,      -2.574501724,     -0.1025775856,     -0.2534801383,       2.826539067,      0.2197876098,       5.805140555
          0,           0,          13,      -2.557380078,     -0.1421154429,     -0.2140892385,        2.84632062,      0.1412783604,       5.571123996
          0,           0,          14,      -2.503366449,    -0.07660724574,     -0.1983925265,       2.892085914,     0.03169979808,       5.293532369
          0,           0,          15,      -2.474566981,    -0.07936057345,     -0.1882511447,       2.917751341,     -0.1325390967,       4.987888864
          0,           0,          16,      -2.502877643,     -0.1355329568,     -0.2335438163,       2.878091857,      -0.154341122,       5.009061607
          0,           0,          17,      -2.520245189,     -0.1470628487,     -0.2410350538,       2.854424856,     -0.1824002723,       5.120077805
          0,           0,          18,      -2.496664217,    -0.05652532555,     -0.2023373462,       2.866544646,     -0.2284571267,       5.153379738
          0,           0,          19,      -2.477140479,    -0.08242081054,     -0.1905530744,       2.885652119,     -0.2863614769,        5.09728269
          0,           0,          20,      -2.443674466,    -0.08152224663,     -0.1644857852,       2.915406565,     -0.3727552764,        5.04895646
